feature,mean_qf,mean_elim,effect_size_rbc,p_value,significant
completed_passes,501.0416666666667,403.7,-0.45911458333333344,1.449434025848047e-05,True
passes_per_connection,4.012083333333333,3.4161249999999996,-0.44843750000000004,2.2819795105969762e-05,True
connections_per_100_passes,26.03,31.652499999999996,0.4481770833333333,2.307787168153615e-05,True
progressive_passes,132.33333333333334,112.45,-0.37291666666666656,0.0004280904906788901,True
network_density,0.5648708333333333,0.5340287499999999,-0.25182291666666656,0.017429090433868772,True
final_third_entries,36.666666666666664,30.925,-0.2372395833333334,0.025030236962945724,True
key_passes,8.020833333333334,6.8,-0.23046875,0.028794607786242273,True
final_third_entries_per_100_passes,7.155208333333333,7.608499999999999,0.12343749999999998,0.24440350201744532,False
top_player_reliance,0.14492291666666668,0.14998625000000002,0.12005208333333328,0.25761018683160075,False
crosses,3.875,3.35,-0.10729166666666656,0.30624505603222063,False
through_balls,0.7708333333333334,0.55,-0.06119791666666674,0.5154226195701591,False
